44 90 38 90 44 90 35 90 44 90 52 90
32 90 48 90 55 90 56 90 61 90 58 90
51 90 52 90 45 90 57 90 55 90 62 90
48 90 43 90 47 90 64 90 70 90 80 90
47 90 49 90 58 90 79 90 87 90 88 90
40 90 39 90 45 90 63 90 69 90 65 90
49 90 40 90 66 90 65 90 68 90 71 90
44 90 45 90 50 90 54 90 50 90 56 90
40 90 50 90 58 90 67 90 84 90 88 90
49 90 53 90 56 90 78 90 80 90 86 90
39 90 42 90 51 90 71 90 83 90 87 90
39 90 53 90 67 90 85 90 83 90 87 90
49 90 40 90 55 90 62 90 69 90 81 90
44 90 45 90 50 90 63 90 72 90 79 90
45 90 56 90 67 90 82 90 87 90 86 90
42 90 48 90 50 90 56 90 81 90 85 90
33 90 34 90 39 90 47 90 71 90 87 90
46 90 45 90 45 90 43 90 56 90 60 90
42 90 44 90 58 90 68 90 84 90 85 90
41 90 51 90 44 90 59 90 62 90 72 90
45 90 44 90 52 90 68 90 76 90 87 90
40 90 54 90 56 90 82 90 88 90 87 90

